"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-05-17","0.17","0.0","0.0",,"67","54",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-05-18","0.00","0.0","0.0",,"69","50",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-05-19","0.00","0.0","0.0",,"65","52",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-05-20","0.05","0.0","0.0",,"59","51","    1",,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-05-21","1.15","0.0","0.0",,"59","47","    1",,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-05-22","0.19","0.0","0.0",,"62","48","    1",,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-05-23","0.07","0.0","0.0",,"62","49",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-05-24","0.00","0.0","0.0",,"69","49",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-05-25","0.16","0.0","0.0",,"64","53",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-05-26","0.02","0.0","0.0",,"69","52",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-05-27","0.00","0.0","0.0",,"72","48",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-05-28","0.00","0.0","0.0",,"77","55",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-05-29","0.00","0.0","0.0",,"73","56",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-05-30","1.01","0.0","0.0",,"56","51","    1",,"    1",,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-05-31","0.17","0.0","0.0",,"63","50","    1",,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-06-01","0.00","0.0","0.0",,"68","50",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-06-02","0.03","0.0","0.0",,"65","49",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-06-03","0.00","0.0","0.0",,"67","51",,,,,,,
